Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,sex,SRA Study,strain,tissue,isolation_source,cell_line,LoadedStatus
SRR31189867,ATAC-seq,200,10186771200,PRJNA960830,SAMN44528399,Model organism or animal,3502957811,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571413,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Hi3_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:34:00Z,1,KPC-1_Hi3,biological replicate 3,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Not Loaded
SRR31189868,ATAC-seq,200,10308538600,PRJNA960830,SAMN44528398,Model organism or animal,3624454983,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571412,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Hi2_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:31:00Z,1,KPC-1_Hi2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189869,ATAC-seq,200,8633439800,PRJNA960830,SAMN44528397,Model organism or animal,2992581916,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571411,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Hi1_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:26:00Z,1,KPC-1_Hi1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189870,ATAC-seq,200,8478147400,PRJNA960830,SAMN44528396,Model organism or animal,2930045232,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571410,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo7_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:29:00Z,1,KPC-1_Lo7,biological replicate 7,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189871,ATAC-seq,200,10621493000,PRJNA960830,SAMN44528395,Model organism or animal,3727790340,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571409,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo6_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:31:00Z,1,KPC-1_Lo6,biological replicate 6,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189872,ATAC-seq,200,8919710400,PRJNA960830,SAMN44528394,Model organism or animal,3181637662,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571408,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo5_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:29:00Z,1,KPC-1_Lo5,biological replicate 5,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189873,RNA-Seq,300,15723387600,PRJNA960830,SAMN44528405,Model organism or animal,5099555084,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571407,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Hi2_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:32:00Z,1,KPC-2_Hi2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Not Loaded
SRR31189874,RNA-Seq,300,13708152300,PRJNA960830,SAMN44528404,Model organism or animal,4429850917,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571406,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Hi1_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:25:00Z,1,KPC-2_Hi1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189875,RNA-Seq,300,11286088800,PRJNA960830,SAMN44528403,Model organism or animal,3677520370,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571405,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo5_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:31:00Z,1,KPC-2_Lo5,biological replicate 5,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189876,RNA-Seq,300,11599352100,PRJNA960830,SAMN44528402,Model organism or animal,3758478952,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571404,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo4_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:29:00Z,1,KPC-2_Lo4,biological replicate 4,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
