Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,sex,SRA Study,strain,tissue,isolation_source,cell_line,LoadedStatus
SRR31189897,ATAC-seq,200,9798236800,PRJNA960830,SAMN44528401,Model organism or animal,3271512429,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571383,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo3_ATAC_r1,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:30:00Z,1,KPC-2_Lo3,biological replicate 3,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189898,ATAC-seq,200,10999860000,PRJNA960830,SAMN44528400,Model organism or animal,3512649674,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571382,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo2_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:34:00Z,1,KPC-2_Lo2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189899,ATAC-seq,200,11058452200,PRJNA960830,SAMN44528391,Model organism or animal,3806449088,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571381,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo2_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:32:00Z,1,KPC-1_Lo2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189900,ATAC-seq,200,9541762200,PRJNA960830,SAMN44528390,Model organism or animal,3317797346,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571380,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo1_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:27:00Z,1,KPC-1_Lo1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31192737,RNA-Seq,300,12849786600,PRJNA960830,SAMN44533182,Model organism or animal,4145859890,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26574051,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo1_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T13:09:00Z,1,KPC-2_Lo1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31192738,ATAC-seq,200,10473903200,PRJNA960830,SAMN44533182,Model organism or animal,3358569855,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26574050,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo1_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T13:07:00Z,1,KPC-2_Lo1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Not Loaded
SRR31192739,ATAC-seq,200,9831680600,PRJNA960830,SAMN44533181,Model organism or animal,3161153021,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26574049,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_parental_ATAC_r2,PAIRED,unspecified,GENOMIC,Mus musculus,parental,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T13:12:00Z,1,KPC-2_parental,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC mouse primary tumor,,Not Loaded
SRR31192740,ATAC-seq,200,10277551800,PRJNA960830,SAMN44533181,Model organism or animal,3282013430,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26574048,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_parental_ATAC_r1,PAIRED,unspecified,GENOMIC,Mus musculus,parental,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T13:08:00Z,1,KPC-2_parental,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC mouse primary tumor,,Loaded
SRR31192741,ATAC-seq,200,8982981000,PRJNA960830,SAMN44533180,Model organism or animal,3102578076,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26574047,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_parental_ATAC_r2,PAIRED,unspecified,GENOMIC,Mus musculus,parental,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T13:08:00Z,1,KPC-1_parental,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC mouse primary tumor,,Loaded
SRR31192742,ATAC-seq,200,6840028000,PRJNA960830,SAMN44533180,Model organism or animal,2523720875,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26574046,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_parental_ATAC_r1,PAIRED,unspecified,GENOMIC,Mus musculus,parental,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T13:06:00Z,1,KPC-1_parental,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC mouse primary tumor,,Loaded
SRR34560818,RNA-Seq,300,11639964900,PRJNA960830,SAMN49995099,Model organism or animal,3485992112,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX29703189,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shControl_3_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,control,ILLUMINA,2025-12-11T00:00:00Z,2025-07-16T16:09:00Z,1,KPC-2_HiB_shControl_3,biological replicate 3,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR34560819,RNA-Seq,300,9608033400,PRJNA960830,SAMN49995098,Model organism or animal,2889914501,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX29703188,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shControl_2_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,control,ILLUMINA,2025-12-11T00:00:00Z,2025-07-16T16:06:00Z,1,KPC-2_HiB_shControl_2,biological replicate 2,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR34560820,RNA-Seq,300,11331527700,PRJNA960830,SAMN49995097,Model organism or animal,3412416983,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX29703187,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shControl_1_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,control,ILLUMINA,2025-12-11T00:00:00Z,2025-07-16T16:08:00Z,1,KPC-2_HiB_shControl_1,biological replicate 1,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050619,RNA-Seq,300,8105608200,PRJNA960830,SAMN50701106,Model organism or animal,2420104665,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164806,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shFos2_1_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,shFos2,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:38:00Z,1,KPC-2_HiB_shFos2_1,biological replicate 1,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050620,RNA-Seq,300,9491741100,PRJNA960830,SAMN50701105,Model organism or animal,2835124062,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164805,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shFos1_3_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,shFos1,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:40:00Z,1,KPC-2_HiB_shFos1_3,biological replicate 3,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050622,RNA-Seq,300,9274045800,PRJNA960830,SAMN50701103,Model organism or animal,2772658610,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164803,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shFos1_1_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,shFos1,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:40:00Z,1,KPC-2_HiB_shFos1_1,biological replicate 1,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050617,RNA-Seq,300,11169281400,PRJNA960830,SAMN50701108,Model organism or animal,3363921994,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164808,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shFos2_3_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,shFos2,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:40:00Z,1,KPC-2_HiB_shFos2_3,biological replicate 3,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050618,RNA-Seq,300,10057707000,PRJNA960830,SAMN50701107,Model organism or animal,3003910856,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164807,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shFos2_2_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,shFos2,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:38:00Z,1,KPC-2_HiB_shFos2_2,biological replicate 2,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050621,RNA-Seq,300,10000824900,PRJNA960830,SAMN50701104,Model organism or animal,3004280384,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164804,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_HiB_shFos1_2_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,shFos1,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:41:00Z,1,KPC-2_HiB_shFos1_2,biological replicate 2,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
